Fwd Packet Length Std,Bwd IAT Total,Packet Length Mean,Label
0.000000,0.000000,1.248889,dns
0.000000,0.000000,1.248889,dns
0.000000,0.000000,1.248889,dns
0.000000,0.000000,1.248889,dns
0.000000,0.000000,1.248889,dns
0.000000,0.000000,1.248889,dns
0.000000,0.000000,1.248889,dns
0.000000,0.000000,1.248889,dns
0.000000,0.000000,1.248889,dns
0.000000,0.000000,1.248889,dns
0.000000,0.000000,1.248889,dns
0.000000,0.000000,1.248889,dns
0.000000,0.000000,1.248889,dns
0.000000,0.000000,1.248889,dns
0.000000,0.000000,1.248889,dns
0.000000,0.000000,1.248889,dns
0.000000,0.000000,1.248889,dns
0.000000,0.000000,1.248889,dns
0.000000,0.000000,1.248889,dns
0.000000,0.000000,1.248889,dns
0.000000,0.000000,1.248889,dns
0.000000,0.000000,1.248889,dns
0.000000,0.000000,1.248889,dns
0.000000,0.000000,1.248889,dns
0.000000,0.000000,1.248889,dns
0.000000,0.000000,1.248889,dns
0.000000,0.000000,1.248889,dns
0.000000,0.000000,1.248889,dns
0.000000,0.000000,1.248889,dns
0.000000,0.000000,1.248889,dns
0.000000,0.000000,1.248889,dns
0.000000,0.000000,1.248889,dns
0.000000,0.000000,1.248889,dns
0.000000,0.000000,1.248889,dns
0.000000,0.000000,1.248889,dns
0.000000,0.000000,1.248889,dns
0.000000,0.000000,1.248889,dns
0.000000,0.000000,1.248889,dns
0.000000,0.000000,1.248889,dns
0.000000,0.000000,1.248889,dns
0.000000,0.000000,1.248889,dns
0.000000,0.000000,1.248889,dns
0.000000,0.000000,1.248889,dns
0.000000,0.000000,1.248889,dns
0.000000,0.000000,1.248889,dns
0.000000,0.000000,1.248889,dns
0.000000,0.000000,1.248889,dns
0.000000,0.000000,1.248889,dns
0.000000,0.000000,1.248889,dns
0.000000,0.000000,1.248889,dns
0.000000,0.000000,1.248889,dns
0.000000,0.000000,1.248889,dns
0.000000,0.000000,1.248889,dns
0.000000,0.000000,1.248889,dns
0.000000,0.000000,1.248889,dns
0.000000,0.000000,1.248889,dns
0.000000,0.000000,1.248889,dns
0.000000,0.000000,1.248889,dns
0.000000,0.000000,1.248889,dns
0.000000,0.000000,1.248889,dns
0.000000,0.000000,1.248889,dns
0.000000,0.000000,1.248889,dns
0.000000,0.000000,1.248889,dns
0.000000,0.000000,1.248889,dns
0.000000,0.000000,1.248889,dns
0.000000,0.000000,1.248889,dns
0.000000,0.000000,1.248889,dns
0.000000,0.000000,1.248889,dns
0.000000,0.000000,1.248889,dns
0.000000,0.000000,1.248889,dns
0.000000,0.000000,1.248889,dns
0.000000,0.000000,1.248889,dns
0.000000,0.000000,1.248889,dns
0.000000,0.000000,1.248889,dns
0.000000,0.000000,1.248889,dns
0.000000,0.000000,1.248889,dns
0.000000,0.000000,1.248889,dns
0.000000,0.000000,1.248889,dns
0.000000,0.000000,1.248889,dns
0.000000,0.000000,1.248889,dns
0.000000,0.000000,1.248889,dns
0.000000,0.000000,1.248889,dns
0.000000,0.000000,1.248889,dns
0.000000,0.000000,1.248889,dns
0.000000,0.000000,1.248889,dns
0.000000,0.000000,1.248889,dns
0.000000,0.000000,1.248889,dns
0.000000,0.000000,1.248889,dns
0.000000,0.000000,1.248889,dns
0.000000,0.000000,1.248889,dns
0.000000,0.000000,1.248889,dns
0.000000,0.000000,1.248889,dns
0.000000,0.000000,1.248889,dns
0.000000,0.000000,1.248889,dns
0.000000,0.000000,1.248889,dns
0.000000,0.000000,1.248889,dns
0.000000,0.000000,1.248889,dns
0.000000,0.000000,1.248889,dns
0.000000,0.000000,1.248889,dns
0.000000,0.000000,1.248889,dns
0.000000,0.000000,1.248889,dns
0.000000,0.000000,1.248889,dns
0.000000,0.000000,1.248889,dns
0.000000,0.000000,1.248889,dns
0.000000,0.000000,1.248889,dns
0.000000,0.000000,1.248889,dns
0.000000,0.000000,1.248889,dns
0.000000,0.000000,1.248889,dns
0.000000,0.000000,1.248889,dns
0.000000,0.000000,1.248889,dns
0.000000,0.000000,1.248889,dns
0.000000,0.000000,1.248889,dns
0.000000,0.000000,1.248889,dns
0.000000,0.000000,1.248889,dns
0.000000,0.000000,1.248889,dns
0.000000,0.000000,1.248889,dns
0.000000,0.000000,1.248889,dns
0.000000,0.000000,1.248889,dns
0.000000,0.000000,1.248889,dns
0.000000,0.000000,1.248889,dns
0.000000,0.000000,1.248889,dns
0.000000,0.000000,1.248889,dns
0.000000,0.000000,1.248889,dns
0.000000,0.000000,1.248889,dns
0.000000,0.000000,1.248889,dns
0.000000,0.000000,1.248889,dns
0.000000,0.000000,1.248889,dns
0.000000,0.000000,1.248889,dns
0.000000,0.000000,1.248889,dns
0.000000,0.000000,1.248889,dns
0.000000,0.000000,1.248889,dns
0.000000,0.000000,1.248889,dns
0.000000,0.000000,1.248889,dns
0.000000,0.000000,1.248889,dns
0.000000,0.000000,1.248889,dns
0.000000,0.000000,1.248889,dns
0.000000,0.000000,1.248889,dns
0.000000,0.000000,1.248889,dns
0.000000,0.000000,1.248889,dns
0.000000,0.000000,1.248889,dns
0.000000,0.000000,1.248889,dns
0.000000,0.000000,1.248889,dns
0.000000,0.000000,1.248889,dns
0.000000,0.000000,1.248889,dns
0.000000,0.000000,1.248889,dns
0.000000,0.000000,1.248889,dns
0.000000,0.000000,1.248889,dns
0.000000,0.000000,1.248889,dns
0.000000,0.000000,1.248889,dns
0.000000,0.000000,1.248889,dns
0.000000,0.000000,1.248889,dns
0.000000,0.000000,1.248889,dns
0.000000,0.000000,1.248889,dns
0.000000,0.000000,1.248889,dns
0.000000,0.000000,1.248889,dns
0.000000,0.000000,1.248889,dns
0.000000,0.000000,1.248889,dns
0.000000,0.000000,1.248889,dns
0.000000,0.000000,1.248889,dns
0.000000,0.000000,1.248889,dns
0.000000,0.000000,1.248889,dns
0.000000,0.000000,1.248889,dns
0.000000,0.000000,1.248889,dns
0.000000,0.000000,1.248889,dns
0.000000,0.000000,1.248889,dns
0.000000,0.000000,1.248889,dns
0.000000,0.000000,1.248889,dns
0.000000,0.000000,1.248889,dns
0.000000,0.000000,1.248889,dns
0.000000,0.000000,1.248889,dns
0.000000,0.000000,1.248889,dns
0.000000,0.000000,1.248889,dns
0.000000,0.000000,1.248889,dns
0.000000,0.000000,1.248889,dns
0.000000,0.000000,1.248889,dns
0.000000,0.000000,1.248889,dns
0.000000,0.000000,1.248889,dns
0.000000,0.000000,1.248889,dns
0.000000,0.000000,1.248889,dns
0.000000,0.000000,1.248889,dns
0.000000,0.000000,1.248889,dns
0.000000,0.000000,1.248889,dns
0.000000,0.000000,1.248889,dns
0.000000,0.000000,1.248889,dns
0.000000,0.000000,1.248889,dns
0.000000,0.000000,1.248889,dns
0.000000,0.000000,1.248889,dns
0.000000,0.000000,1.248889,dns
0.000000,0.000000,1.248889,dns
0.000000,0.000000,1.248889,dns
0.000000,0.000000,1.248889,dns
0.000000,0.000000,1.248889,dns
0.000000,0.000000,1.248889,dns
0.000000,0.000000,1.248889,dns
0.000000,0.000000,1.248889,dns
0.000000,0.000000,1.248889,dns
0.000000,0.000000,1.248889,dns
